id,dataset,seed,subsample,repeat,AUROC,F1,Recall,Precision,runtime,lag,sum,lambda_a,lambda_w,w_thres,alpha
var,synth,indep,3,1,0.7,0.4,1.0,0.25,0.0179169178009033,2.0,max,,,,
var,synth,indep,4,1,0.7,0.4,1.0,0.25,0.0145134925842285,2.0,max,,,,
var,synth,indep,5,1,0.7,0.4,1.0,0.25,0.0210981369018554,2.0,max,,,,
var,synth,indep,6,1,0.7,0.4,1.0,0.25,0.0117526054382324,2.0,max,,,,
var,synth,indep,7,1,0.7,0.4,1.0,0.25,0.0104236602783203,2.0,max,,,,
var,synth,indep,8,1,0.7,0.4,1.0,0.25,0.0099971294403076,2.0,max,,,,
var,synth,indep,9,1,0.7,0.4,1.0,0.25,0.0165588855743408,2.0,max,,,,
var,synth,indep,10,1,0.7,0.4,1.0,0.25,0.0094654560089111,2.0,max,,,,
var,synth,indep,20,1,0.7,0.4,1.0,0.25,0.0074002742767333,2.0,max,,,,
var,synth,indep,50,1,0.7,0.4,1.0,0.25,0.0057673454284667,2.0,max,,,,
var,synth,indep,100,1,0.7,0.4,1.0,0.25,0.0054705142974853,2.0,max,,,,
var,synth,x_cause_y,1,1,0.75,0.6666666666666666,1.0,0.5,0.042823314666748,2.0,max,,,,
var,synth,x_cause_y,2,1,0.75,0.6666666666666666,1.0,0.5,0.0244371891021728,2.0,max,,,,
var,synth,x_cause_y,3,1,0.75,0.6666666666666666,1.0,0.5,0.0179307460784912,2.0,max,,,,
var,synth,x_cause_y,4,1,0.75,0.6666666666666666,1.0,0.5,0.0148899555206298,2.0,max,,,,
var,synth,x_cause_y,5,1,0.75,0.6666666666666666,1.0,0.5,0.014488935470581,2.0,max,,,,
var,synth,x_cause_y,6,1,0.75,0.6666666666666666,1.0,0.5,0.0118229389190673,2.0,max,,,,
var,synth,x_cause_y,7,1,0.75,0.6666666666666666,1.0,0.5,0.0105230808258056,2.0,max,,,,
var,synth,x_cause_y,8,1,0.75,0.6666666666666666,1.0,0.5,0.0097491741180419,2.0,max,,,,
var,synth,x_cause_y,9,1,0.75,0.6666666666666666,1.0,0.5,0.0096733570098876,2.0,max,,,,
